Node_Name;Adipose_Tissue_Control.merged.fastq.rma6;AT_Mock_1_1000000.merged.fastq.rma6;AT_Mock_1_100000.merged.fastq.rma6;AT_Mock_1_10000.merged.fastq.rma6;AT_Mock_1_1000.merged.fastq.rma6;AT_Mock_1_100.merged.fastq.rma6;AT_Mock_1_50_1.merged.fastq.rma6;AT_Mock_1_50_2.merged.fastq.rma6;AT_Mock_1_50_3.merged.fastq.rma6;AT_Mock_1_50_4.merged.fastq.rma6;AT_Mock_1_50.merged.fastq.rma6;Hepatology_High_1.merged.fastq.rma6;Hepatology_High_2.merged.fastq.rma6;Hepatology_Low_1.merged.fastq.rma6;Hepatology_Low_2.merged.fastq.rma6;patient_1_AT.merged.fastq.rma6;patient_1_blood.merged.fastq.rma6;patient_1_stool.merged.fastq.rma6;patient_2_AT.merged.fastq.rma6;patient_2_blood.merged.fastq.rma6;patient_2_stool.merged.fastq.rma6
Eukaryota;7200439;8554603;6135763;7933198;6831730;6641228;7259837;2041;5661992;8918172;6932595;7756348;10293977;10164846;7397948;7892729;5534511;7410;480;12899076;70661
Vertebrata;7104972;8444584;6058692;7831548;6744787;6557363;7167418;2000;5590150;8803095;6844566;7641498;10129407;10012066;7288717;7785863;5461006;5026;473;12722955;66677
Bacteria;1980;2274;1645;2462;4945;30841;79016;236;61519;100071;73933;2243;3480;3356;2197;2486;1753;2369072;0;3684;2009607
Unassigend;19439;22949;16906;21619;19429;18485;18824;114;14592;22955;19348;18992;26625;24702;19328;19851;13829;529910;2;29815;559661
Total_Reads;7288622;8658286;6210882;8029771;6919227;6753267;7425686;3451;5791049;9125313;7091158;7849869;10420403;10290709;7486783;7988395;5601649;8215062;486;13051352;7812722
NumberOfLines;29154488;34633144;24843528;32119084;27676908;27013068;29702744;13804;23164196;36501252;28364632;31399476;41681612;41162836;29947132;31953580;22406596;32860248;1944;52205408;31250888
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;